CensusTract,State,County,Urban,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
4013420901,Arizona,Maricopa,1,3158,1048,0,11,0.0034832,0,1,0,1,1,1,34.1,38769,0,1,0,1,0,0,0,1,0,1864.785195,0,0,1102.484505,0,1864.785195,0.590495629,1102.484505,0.349108456,627.0682777,0.198565002,171.6279579,0.054347042,1323.007666,0.418938463,121.1931912,0.038376565,20.7122833,0.006558671,3.996953466,0.00126566,80.53787202,0.025502809,315.3372303,0.099853461,500.6693111,0.158539997,117.7958043,0.112400577,185.6837341,0.177179136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2212,1037,257,2211,177,35,9,126,600,1082,125,315
4013420902,Arizona,Maricopa,1,3363,1146,0,19,0.0056497,0,1,0,0,0,1,22.9,45758,0,1,0,1,0,0,0,0,0,3336.451842,0,0,1383.250028,0,3336.451842,0.992105811,1383.250028,0.411314311,974.9243753,0.289897227,372.9308897,0.110892325,2599.139634,0.772863406,94.76578448,0.028178943,16.99999992,0.00505501,23.0000002,0.006839132,53.5965563,0.015937126,548.9498782,0.163232197,1064.941936,0.316664269,52.03770362,0.045408118,212.6526607,0.185560786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1384,985,376,2622,96,17,23,54,551,1070,59,224
4013421001,Arizona,Maricopa,1,3556,1587,0,176,0.0494938,1,1,1,1,1,1,31.5,32128,1,1,1,1,1,0,0,1,605.5909206,3363.725007,605.5909206,351.6908805,2035.01116,351.6908805,3363.725007,0.945929417,2035.01116,0.572275354,761.9742309,0.214278468,754.7619313,0.212250262,2447.488357,0.688270067,170.1774054,0.047856413,20.61810733,0.005798118,19.81110042,0.005571176,137.7455684,0.038736099,567.8844831,0.159697549,1111.338305,0.312524833,588.5345626,0.370847235,257.3004726,0.162130102,605.5909206,0.170301159,351.6908805,0.098900698,159.8295508,0.044946443,47.99023366,0.013495566,404.1860682,0.113663124,30.7071313,0.008635301,3.351877093,0.000942598,2.615721375,0.00073558,37.41724747,0.010522286,127.3128694,0.035802269,260.2797096,0.073194519,69.69871747,0.043918537,41.69984723,0.026275896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2190,794,838,2597,182,22,20,145,590,1153,748,304
4013421002,Arizona,Maricopa,1,2646,1291,0,0,0,0,0,0,0,0,0,15,53333,0,1,0,1,0,0,0,0,45.39801502,898.0000218,45.39801502,22.06258583,436.4112215,22.06258583,898.0000218,0.339380205,436.4112215,0.164932434,318.0000095,0.12018141,159.0000012,0.060090703,519.0000071,0.196145127,126.0000023,0.047619048,18.99999999,0.00718065,0,0,14.00000004,0.005291005,220.0000026,0.08314437,548.0000067,0.207105067,52.70270333,0.040823163,44.07345661,0.034139006,45.39801502,0.017157224,22.06258583,0.00833809,17.94355154,0.006781388,2.717402756,0.001026985,23.80009842,0.008994746,10.30656242,0.003895148,0,0,0,0,0.843482316,0.000318776,10.44786978,0.003948552,38.41755009,0.014519104,1.915428191,0.001483678,1.601806641,0.001240749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005,621,517,1846,267,39,6,99,389,905,212,160
4013421101,Arizona,Maricopa,1,3886,1456,0,4,0.0010293,1,1,1,1,1,1,24.3,44286,1,1,1,1,1,0,0,1,3364.271136,3885.99999,3364.271136,1494.084636,1766.82952,1494.084636,3885.99999,0.999999997,1766.82952,0.454665342,1107.999995,0.285126092,397.000003,0.102161607,2496.999994,0.642563045,145.0000005,0.037313433,59.99999997,0.015440041,13.99999971,0.003602676,343.0000023,0.088265569,827.0000067,0.212815236,1342,0.345342254,131.6003774,0.090384875,238.2023677,0.163600527,3364.271136,0.865741414,1494.084636,0.384478805,959.9444509,0.247026364,340.3905875,0.087594078,2197.470022,0.565483794,114.226203,0.029394288,52.10702558,0.01340891,13.69002599,0.003522909,266.9503633,0.06869541,719.827511,0.185236107,1185.179309,0.304986955,116.038509,0.079696778,202.3754824,0.13899415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1844,1108,397,2497,145,60,14,343,827,1342,138,249
4013421102,Arizona,Maricopa,1,5280,1863,0,55,0.0104167,1,1,1,1,1,1,16.1,34613,1,1,1,1,1,0,0,1,3498.234965,5279.999957,3498.234965,2221.070794,3310.994202,2221.070794,5279.999957,0.999999992,3310.994202,0.627082235,1633.999993,0.309469696,491.9999943,0.093181817,3720.999981,0.704734845,325.0000018,0.061553031,39.99999977,0.007575758,11.99999994,0.002272727,290.0000011,0.054924243,892.0000022,0.168939394,1601.999996,0.30340909,238.2460956,0.127883036,348.4883664,0.187057631,3498.234965,0.662544501,2221.070794,0.420657347,1133.910839,0.214755841,339.127828,0.064228755,2460.66681,0.466035381,212.9916469,0.040339327,20.79349926,0.003938163,8.925919294,0.001690515,199.8787099,0.037855816,594.9784204,0.112685307,961.2645247,0.182057675,100.0004049,0.053677083,220.3393397,0.118271251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3638,1634,492,3721,325,40,12,290,892,1602,214,370
4013421201,Arizona,Maricopa,1,4806,2390,0,2,0.0004161,0,1,0,0,0,1,27.8,66923,0,1,0,1,0,0,0,0,0,3718.975419,0,0,1981.234556,0,3718.975419,0.773819272,1981.234556,0.412241897,386.1520752,0.080347914,115.5758895,0.02404825,2809.485357,0.584578726,183.9797795,0.038281269,165.7461011,0.034487329,4.753160655,0.000989006,160.2607865,0.033345981,394.7502136,0.082136957,638.2574193,0.13280429,76.2651896,0.031910121,62.43404707,0.026123032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2877,643,172,3604,234,212,5,183,568,979,90,79
4013421202,Arizona,Maricopa,1,3764,1380,0,5,0.0013284,0,0,0,0,0,0,13,55324,0,1,0,1,0,0,0,0,0,3550.621213,0,0,1416.41741,0,3550.621213,0.943310631,1416.41741,0.376306432,924.2151376,0.245540685,359.4287377,0.095491163,2610.638835,0.693580987,140.0234028,0.037200692,59.93004909,0.015921905,10,0.002656748,125.9709269,0.033467303,604.0580098,0.160482999,1184.85985,0.31478742,65.33448596,0.04734383,111.2172267,0.080592193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1669,983,381,2761,145,60,10,135,653,1288,66,107
4013421302,Arizona,Maricopa,1,5978,2023,0,32,0.005353,0,1,0,1,1,1,29.1,30529,0,1,0,1,0,0,0,1,117.9499674,3751.056141,117.9499674,77.65252682,2549.077054,77.65252682,3751.056141,0.627476772,2549.077054,0.426409678,1137.747054,0.190322358,221.8948961,0.037118584,2262.455021,0.378463536,118.2181779,0.01977554,22.80775084,0.003815281,25.30342321,0.004232757,129.0059872,0.021580125,1193.265743,0.199609525,2251.188717,0.376578909,159.0639238,0.078627743,169.9700398,0.084018804,117.9499674,0.019730674,77.65252682,0.012989717,29.15563214,0.004877155,9.513703011,0.001591452,83.63935849,0.013991194,3.499543742,0.000585404,0.400125748,6.69E-05,0.484804809,8.11E-05,3.719459272,0.000622191,26.20667646,0.004383854,56.20903339,0.009402649,3.720537707,0.001839119,5.564879758,0.002750806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3914,1939,320,3613,236,39,26,238,1826,3635,238,261
4013421303,Arizona,Maricopa,1,4773,1608,0,79,0.0165514,0,1,0,0,0,1,28.5,36237,0,1,0,1,0,0,0,0,0,976.0806811,0,0,713.0282924,0,976.0806811,0.204500457,713.0282924,0.149387868,272.5660429,0.057105812,72.83427077,0.015259642,606.2198092,0.127010226,80.12176707,0.016786459,21.81072386,0.004569605,5.036321798,0.001055169,70.54309643,0.014779614,192.3489709,0.040299386,402.790112,0.084389296,67.65523782,0.042074153,81.01084805,0.050379881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3056,1411,378,3018,263,106,20,238,1128,2200,204,348
