,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,ObjectId,FIPS,Census Tract,Store_Type
25033,Wing Lee Poultry,111 S Dobson Rd,Ste 106,Mesa,AZ,85202,1089,MARICOPA,-111.87446,33.412552,25034,4.01E+13,4013421304,0
117358,Yasha From Russia,10240 N 32nd St,,Phoenix,AZ,85028,3823,MARICOPA,-112.01308,33.58036,117359,4.01E+13,4013104801,0
172213,Love's Travel Stop 296,820 W Pima Rd,,Gila Bend,AZ,85337,,MARICOPA,-112.7332,32.943722,172214,4.01E+13,4013723305,0
172214,Love's Travel Stop 328,7001 W Sundust Rd,,Chandler,AZ,85226,5126,MARICOPA,-111.96165,33.28083,172215,4.01E+13,4013941100,0
103562,Love's Travel Stop 659,8313 W Roosevelt St,,Tolleson,AZ,85353,,MARICOPA,-112.25533,33.457504,103563,4.01E+13,4013083000,0
172209,"Love's Travel Stops & Country Stores, Inc. 280",1610 S Miller Rd,,Buckeye,AZ,85326,6429,MARICOPA,-112.591,33.431316,172210,4.01E+13,4013050607,0
12524,Pilot 1243,3006 S Butterfield Trl,,Gila Bend,AZ,85337,688,MARICOPA,-112.67303,32.929691,12525,4.01E+13,4013723305,0
155438,Pilot Travel Center 1180,41112 W Indian School Rd,,Tonopah,AZ,85354,,MARICOPA,-112.93964,33.49371,155439,4.01E+13,4013050603,0
172101,Pilot Travel Center 459,900 N 99th Ave,,Avondale,AZ,85323,5309,MARICOPA,-112.27258,33.45639,172102,4.01E+13,4013082027,0
9403,Pilot Travel Center 611,6700 W Latham St,,Phoenix,AZ,85043,1400,MARICOPA,-112.20573,33.460136,9404,4.01E+13,4013112508,0
17951,Travelcenters Of America 225,"I-10, Exit 103",,Tonopah,AZ,85354,,MARICOPA,-112.84787,33.435795,17952,4.01E+13,4013050603,0
2724,Shamrock Foodservice Warehouse 550,2430 W Indian School Rd,,Phoenix,AZ,85015,4932,MARICOPA,-112.11206,33.495148,2725,4.01E+13,4013109003,0
232451,GND Marker Water And Ice,995 W Ray Rd,,Chandler,AZ,85225,6500,MARICOPA,-111.85878,33.320572,232452,4.01E+13,4013523002,0
121069,JJ Water & Ice 0,5817 S Central Ave,,Phoenix,AZ,85040,3054,MARICOPA,-112.07318,33.393562,121070,4.01E+13,4013115801,0
15385,ALBERTSONS  1002,9243 E Baseline Rd,,Mesa,AZ,85209,8308,MARICOPA,-111.63477,33.379074,15386,4.01E+13,4013422642,1
206578,ALBERTSONS  958,325 S Power Rd,,Mesa,AZ,85206,5216,MARICOPA,-111.68452,33.40966,206579,4.01E+13,4013422626,1
67895,ALBERTSONS  966,6965 N Hayden Rd,,Scottsdale,AZ,85250,7969,MARICOPA,-111.90853,33.537498,67896,4.01E+13,4013216902,1
137676,ALBERTSONS  980,1951 W Baseline Rd,,Mesa,AZ,85202,9002,MARICOPA,-111.87711,33.378464,137677,4.01E+13,4013422221,1
149170,ALBERTSONS  981,3145 S Alma School Rd,,Chandler,AZ,85248,3756,MARICOPA,-111.85838,33.260315,149171,4.01E+13,4013812700,1
34952,ALBERTSONS  991,8240 W Deer Valley Rd,,Peoria,AZ,85382,2125,MARICOPA,-112.23647,33.681625,34953,4.01E+13,4013613900,1
193590,Albertsons 1221,2935 E Riggs Rd,,Chandler,AZ,85249,3671,MARICOPA,-111.79373,33.219109,193591,4.01E+13,4013813900,1
210887,Albertsons 1948,441 N Val Vista Dr,,Mesa,AZ,85213,7001,MARICOPA,-111.75361,33.42379,210888,4.01E+13,4013420706,1
175337,Albertsons 197,11475 E Via Linda,,Scottsdale,AZ,85259,2638,MARICOPA,-111.8349,33.589592,175338,4.01E+13,4013216837,1
63474,Albertsons 1971,8950 W Bell Rd,,Peoria,AZ,85382,3714,MARICOPA,-112.25161,33.638218,63475,4.01E+13,4013617600,1
189216,Albertsons 23,861 E Warner Rd,,Gilbert,AZ,85296,2963,MARICOPA,-111.77133,33.33548,189217,4.01E+13,4013814500,1
130286,Albertsons 25,21001 N TATUM BLVD,,PHOENIX,AZ,85050,4203,MARICOPA,-111.97725,33.676926,130287,4.01E+13,4013615200,1
195712,Albertsons 2929,8454 S Power Rd,,Gilbert,AZ,85297,8027,MARICOPA,-111.68613,33.265495,195713,4.01E+13,4013816300,1
49508,Albertsons 2952,8035 N 19th Ave,,Phoenix,AZ,85021,5159,MARICOPA,-112.09965,33.55431,49509,4.01E+13,4013105400,1
183836,Albertsons 2955,2785 N Scottsdale Rd,,Scottsdale,AZ,85257,1326,MARICOPA,-111.92608,33.479115,183837,4.01E+13,4013217900,1
