Census Tract,distance,bus_stops,store_count
04013010101,3.989204532391526,0.0,0.0
04013010102,3.989204532391526,0.0,0.0
04013030401,3.989204532391526,0.0,1.0
04013030402,3.989204532391526,0.0,0.0
04013040502,3.989204532391526,0.0,3.0
04013040506,3.989204532391526,0.0,1.0
04013040507,3.989204532391526,0.0,3.0
04013040512,3.989204532391526,0.0,0.0
04013040513,3.989204532391526,0.0,0.0
04013040514,3.989204532391526,0.0,0.0
04013040515,3.989204532391526,0.0,0.0
04013040516,3.989204532391526,0.0,0.0
04013040517,3.989204532391526,0.0,1.0
04013040518,3.989204532391526,0.0,0.0
04013040519,3.989204532391526,0.0,0.0
04013040520,3.989204532391526,0.0,1.0
04013040521,3.989204532391526,0.0,0.0
04013040522,3.989204532391526,0.0,0.0
04013040523,3.989204532391526,0.0,0.0
04013040524,3.989204532391526,0.0,0.0
04013040525,3.989204532391526,0.0,0.0
04013040526,3.989204532391526,0.0,0.0
04013040527,3.989204532391526,0.0,1.0
04013040528,3.989204532391526,0.0,1.0
04013040529,3.989204532391526,0.0,0.0
04013040530,3.989204532391526,0.0,0.0
04013040531,3.989204532391526,0.0,2.0
04013050603,3.989204532391526,0.0,1.0
04013050604,3.989204532391526,0.0,0.0
04013050605,3.989204532391526,0.0,0.0
04013050606,2.6752420228361986,1.0,1.0
04013050607,3.989204532391526,0.0,0.0
04013050608,0.09755618742252208,2.0,2.0
04013050609,3.989204532391526,0.0,0.0
04013050610,3.989204532391526,1.0,0.0
04013050611,3.989204532391526,0.0,0.0
04013050701,3.989204532391526,0.0,0.0
04013050702,0.25579042388721707,3.0,2.0
04013060801,3.989204532391526,0.0,0.0
04013060802,3.989204532391526,0.0,0.0
04013060901,3.989204532391526,0.0,2.0
04013060902,0.13521447708948336,2.0,2.0
04013060903,0.1435965799705078,1.0,1.0
04013060904,3.989204532391526,0.0,0.0
04013061009,0.6252400988414274,4.0,3.0
04013061010,3.989204532391526,0.0,0.0
04013061011,1.8310076487116127,11.0,1.0
04013061012,0.06467332734779623,22.0,1.0
04013061013,0.9446932293863453,1.0,1.0
04013061014,3.989204532391526,11.0,0.0
04013061015,0.19151415371920893,14.0,1.0
04013061016,3.989204532391526,0.0,0.0
04013061017,3.989204532391526,0.0,0.0
04013061018,3.989204532391526,0.0,0.0
04013061019,3.989204532391526,0.0,0.0
04013061020,0.0887369902840267,3.0,2.0
04013061021,3.989204532391526,2.0,0.0
04013061022,3.989204532391526,0.0,2.0
04013061023,3.989204532391526,0.0,0.0
04013061024,3.989204532391526,0.0,0.0
04013061025,3.989204532391526,0.0,1.0
04013061026,3.989204532391526,0.0,1.0
04013061027,3.989204532391526,0.0,0.0
04013061028,3.989204532391526,0.0,0.0
04013061029,0.47883324615829603,1.0,2.0
04013061030,3.989204532391526,0.0,0.0
04013061031,3.989204532391526,0.0,1.0
04013061032,3.989204532391526,0.0,0.0
04013061033,3.989204532391526,0.0,1.0
04013061034,3.989204532391526,0.0,1.0
04013061035,3.989204532391526,0.0,1.0
04013061036,3.989204532391526,0.0,0.0
04013061037,3.989204532391526,0.0,1.0
04013061038,3.989204532391526,0.0,0.0
04013061039,3.989204532391526,0.0,0.0
04013061040,3.989204532391526,1.0,0.0
04013061041,3.989204532391526,0.0,0.0
04013061042,3.989204532391526,0.0,0.0
04013061043,3.989204532391526,0.0,0.0
04013061044,3.989204532391526,0.0,0.0
04013061045,3.989204532391526,0.0,0.0
04013061046,3.989204532391526,3.0,0.0
04013061047,3.989204532391526,0.0,0.0
04013061100,3.989204532391526,5.0,0.0
04013061200,0.11125359223629606,17.0,4.0
04013061300,3.989204532391526,2.0,0.0
04013061401,0.2184142938218878,2.0,1.0
04013061402,0.04206299921616873,8.0,1.0
04013071503,0.1729478213602417,9.0,1.0
04013071504,3.989204532391526,0.0,0.0
04013071505,3.989204532391526,8.0,0.0
04013071506,3.989204532391526,1.0,0.0
04013071509,0.22211002233364116,9.0,2.0
04013071510,0.018749842091588777,6.0,1.0
04013071511,3.989204532391526,8.0,0.0
04013071512,3.989204532391526,6.0,0.0
04013071513,3.989204532391526,2.0,0.0
04013071514,3.989204532391526,7.0,0.0
04013071515,3.989204532391526,5.0,0.0
04013071516,3.989204532391526,5.0,0.0
04013071517,0.3748764610492809,4.0,3.0
04013071600,3.989204532391526,9.0,0.0
04013071701,3.989204532391526,0.0,0.0
04013071702,3.989204532391526,13.0,0.0
04013071801,3.989204532391526,8.0,0.0
04013071802,3.989204532391526,7.0,0.0
04013071903,0.8624975999189325,6.0,1.0
04013071906,3.989204532391526,10.0,0.0
04013071909,3.989204532391526,1.0,0.0
04013071910,0.9619153568140845,8.0,1.0
04013071911,0.07004236558024579,10.0,2.0
04013071912,3.989204532391526,4.0,0.0
04013071913,0.08081344886321469,6.0,1.0
04013071914,3.989204532391526,1.0,0.0
04013071915,3.989204532391526,6.0,0.0
04013082002,3.989204532391526,6.0,0.0
04013082007,0.07633451850728094,4.0,1.0
04013082008,3.989204532391526,8.0,0.0
04013082009,0.10890624908178825,6.0,1.0
04013082010,0.04634359355910584,8.0,1.0
04013082012,3.989204532391526,4.0,0.0
04013082016,3.989204532391526,7.0,0.0
04013082017,3.989204532391526,7.0,0.0
04013082018,3.989204532391526,8.0,0.0
04013082019,3.989204532391526,4.0,0.0
04013082020,3.989204532391526,6.0,0.0
04013082021,0.07228763927269984,4.0,1.0
04013082022,3.989204532391526,3.0,0.0
04013082023,3.989204532391526,14.0,0.0
04013082024,3.989204532391526,6.0,0.0
04013082025,3.989204532391526,2.0,0.0
04013082026,3.989204532391526,3.0,0.0
04013082027,3.989204532391526,7.0,0.0
04013082028,3.989204532391526,6.0,0.0
04013082203,3.989204532391526,0.0,0.0
04013082204,3.989204532391526,0.0,0.0
04013082205,3.989204532391526,0.0,1.0
04013082206,3.989204532391526,0.0,0.0
04013082207,3.989204532391526,0.0,0.0
04013082208,3.989204532391526,3.0,0.0
04013082209,3.989204532391526,4.0,0.0
04013082210,0.41780423409689454,7.0,2.0
04013082211,3.989204532391526,4.0,0.0
04013083000,0.10324954512667239,29.0,4.0
04013092305,0.012574726837893362,16.0,1.0
04013092306,0.044615985173071936,15.0,1.0
04013092307,0.0567409949860079,16.0,1.0
04013092308,0.01568891818824557,16.0,2.0
04013092309,3.989204532391526,19.0,0.0
04013092311,3.989204532391526,5.0,0.0
04013092312,3.989204532391526,6.0,0.0
04013092401,0.008578823157966039,11.0,1.0
04013092402,0.07405351849761548,12.0,1.0
04013092500,0.015304827840968694,26.0,1.0
04013092600,3.989204532391526,20.0,0.0
04013092705,0.006254522087073007,8.0,1.0
04013092708,3.989204532391526,0.0,2.0
04013092709,0.9201856450409555,3.0,1.0
04013092710,3.989204532391526,7.0,0.0
04013092711,3.989204532391526,8.0,0.0
04013092712,3.989204532391526,11.0,0.0
04013092713,3.989204532391526,12.0,0.0
04013092715,3.989204532391526,6.0,0.0
04013092716,0.032920633717015244,6.0,1.0
04013092717,3.989204532391526,6.0,0.0
04013092718,0.05497628178122455,6.0,1.0
04013092719,3.989204532391526,4.0,0.0
04013092720,0.2266713233014893,29.0,1.0
04013092721,3.989204532391526,6.0,0.0
04013092723,3.989204532391526,0.0,0.0
04013092724,3.989204532391526,0.0,1.0
04013092801,3.989204532391526,10.0,0.0
04013092802,0.2852798467169836,9.0,2.0
04013092900,0.04722830419906408,21.0,1.0
04013093001,3.989204532391526,13.0,0.0
04013093002,0.20215169901189486,8.0,3.0
