,Census Tract,Unnamed: 0,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,ObjectId,FIPS,Store_Type,distance,bus_stops,store_count
45,04013060801,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
46,04013060802,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
47,04013060901,156551.0,Food City 89,12321 NW Grand Ave,,El Mirage,AZ,85335.0,3046.0,MARICOPA,-112.32516000000001,33.618626,156552.0,40100000000000.0,GroceryStore,3.989204532391526,0.0,1.0
48,04013060901,169024.0,J Castillo Carniceria,13011 W Greenway Rd,,El Mirage,AZ,85335.0,9787.0,MARICOPA,-112.34048,33.623463,169025.0,40100000000000.0,Market,3.989204532391526,0.0,1.0
49,04013060902,144746.0,Super Carniceria Uruapan 3,11926 W Thunderbird Rd,,El Mirage,AZ,85335.0,8311.0,MARICOPA,-112.31801000000002,33.608948,144747.0,40100000000000.0,Market,0.22853581302803083,2.0,1.0
50,04013060902,100875.0,Walmart SuperCenter 4336,12900 W Thunderbird Rd,,El Mirage,AZ,85335.0,5945.0,MARICOPA,-112.33652,33.609058000000005,100876.0,40100000000000.0,GroceryStore,0.04189314115093592,2.0,1.0
51,04013060903,40801.0,Maggie's Market 1,12017 W Thunderbird Rd,,El Mirage,AZ,85335.0,8309.0,MARICOPA,-112.31931000000002,33.608897999999996,40802.0,40100000000000.0,Market,0.1435965799705078,1.0,1.0
52,04013060904,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
53,04013061009,244032.0,ALDI 79161,845 N Estrella Pkwy,,Goodyear,AZ,85338.0,3031.0,MARICOPA,-112.39238,33.455559,244033.0,40100000000000.0,GroceryStore,0.6112474036509058,4.0,1.0
54,04013061009,186247.0,SAFEWAY  2618,440 N Estrella Pkwy,,Goodyear,AZ,85338.0,2880.0,MARICOPA,-112.39263000000001,33.451401000000004,186248.0,40100000000000.0,GroceryStore,0.8981475762804431,4.0,1.0
55,04013061009,79504.0,Walmart SuperCenter 5369,1100 N Estrella Pkwy,,Goodyear,AZ,85338.0,2808.0,MARICOPA,-112.39262,33.459152,79505.0,40100000000000.0,GroceryStore,0.3663253165929332,4.0,1.0
56,04013061010,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
57,04013061011,190831.0,Bashas' 130,5115 N Dysart Rd,Ste 150,Litchfield Park,AZ,85340.0,3034.0,MARICOPA,-112.34078999999998,33.509983,190832.0,40100000000000.0,GroceryStore,1.8310076487116127,11.0,1.0
58,04013061012,86625.0,Target Store T-1242,1515 N Litchfield Rd,,Goodyear,AZ,85395.0,1237.0,MARICOPA,-112.35793999999999,33.463352,86626.0,40100000000000.0,GroceryStore,0.06467332734779623,22.0,1.0
59,04013061013,191568.0,Albertsons 3926,12970 W Indian School Rd,,Litchfield Park,AZ,85340.0,5153.0,MARICOPA,-112.33875,33.493378,191569.0,40100000000000.0,GroceryStore,0.9446932293863453,1.0,1.0
60,04013061014,,,,,,,,,,,,,,,3.989204532391526,11.0,0.0
61,04013061015,92362.0,Sprouts Farmers Market 13,1813 N Dysart Rd,,Avondale,AZ,85392.0,1226.0,MARICOPA,-112.34081,33.467796,92363.0,40100000000000.0,GroceryStore,0.19151415371920893,14.0,1.0
62,04013061016,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
63,04013061017,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
64,04013061018,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
65,04013061019,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
66,04013061020,149700.0,SAFEWAY 1511,14175 W Indian School Rd Ste B1,,Goodyear,AZ,85395.0,8408.0,MARICOPA,-112.36408,33.485668,149701.0,40100000000000.0,GroceryStore,0.07880788469990019,3.0,1.0
67,04013061020,86435.0,Walmart Neighborhood Market 3604,14200 W Indian School Rd,,Goodyear,AZ,85395.0,9248.0,MARICOPA,-112.36431999999999,33.485924,86436.0,40100000000000.0,GroceryStore,0.09866609586815324,3.0,1.0
68,04013061021,,,,,,,,,,,,,,,3.989204532391526,2.0,0.0
69,04013061022,159553.0,Fry's 676,16380 W Yuma Rd,,Goodyear,AZ,85338.0,3100.0,MARICOPA,-112.41235,33.435684,159554.0,40100000000000.0,GroceryStore,3.989204532391526,0.0,1.0
70,04013061022,113657.0,Target Store T-2400,995 S Cotton Ln,,Goodyear,AZ,85338.0,4604.0,MARICOPA,-112.42676999999999,33.437649,113658.0,40100000000000.0,GroceryStore,3.989204532391526,0.0,1.0
71,04013061023,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
72,04013061024,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
73,04013061025,85403.0,SAFEWAY 1997,17049 W Bell Rd,,Surprise,AZ,85374.0,2976.0,MARICOPA,-112.42681,33.638737,85404.0,40100000000000.0,GroceryStore,3.989204532391526,0.0,1.0
74,04013061026,219783.0,WinCo Foods 127,16925 W Bell Rd,,Surprise,AZ,85388.0,,MARICOPA,-112.42303999999999,33.638779,219784.0,40100000000000.0,GroceryStore,3.989204532391526,0.0,1.0
75,04013061027,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
76,04013061028,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
77,04013061029,84212.0,Sprouts Farmers Market 12,13759 W Bell Rd,,Surprise,AZ,85374.0,3871.0,MARICOPA,-112.35578000000001,33.638527,84213.0,40100000000000.0,GroceryStore,0.5474110141367894,1.0,1.0
78,04013061029,90469.0,Target Store T-1335,13731 W Bell Rd,,Surprise,AZ,85374.0,3871.0,MARICOPA,-112.35338999999999,33.638554,90470.0,40100000000000.0,GroceryStore,0.4102554781798026,1.0,1.0
79,04013061030,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
80,04013061031,38364.0,Walmart SuperCenter 5429,14111 N Prasada Gateway Ave,,Surprise,AZ,85388.0,,MARICOPA,-112.42246000000002,33.610981,38365.0,40100000000000.0,GroceryStore,3.989204532391526,0.0,1.0
81,04013061032,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
82,04013061033,105637.0,Walmart Neighborhood Market 4218,15431 W Greenway Rd,,Surprise,AZ,85374.0,4364.0,MARICOPA,-112.3924,33.624043,105638.0,40100000000000.0,GroceryStore,3.989204532391526,0.0,1.0
83,04013061034,80469.0,Fry's 674,13982 W Waddell Rd,,Surprise,AZ,85379.0,8737.0,MARICOPA,-112.36158999999999,33.609299,80470.0,40100000000000.0,GroceryStore,3.989204532391526,0.0,1.0
