,Census Tract,Unnamed: 0,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,ObjectId,FIPS,Store_Type,distance,bus_stops,store_count
823,04013422626,206578.0,ALBERTSONS  958,325 S Power Rd,,Mesa,AZ,85206.0,5216.0,MARICOPA,-111.68451999999999,33.409659999999995,206579.0,40100000000000.0,GroceryStore,,,
824,04013422627,,,,,,,,,,,,,,,,,
825,04013422628,,,,,,,,,,,,,,,,,
826,04013422629,,,,,,,,,,,,,,,,,
827,04013422630,48072.0,FRY'S 115,435 S Ellsworth Rd,,Mesa,AZ,85208.0,2305.0,MARICOPA,-111.63266000000002,33.40728,48073.0,40100000000000.0,GroceryStore,,,
828,04013422631,,,,,,,,,,,,,,,,,
829,04013422632,,,,,,,,,,,,,,,,,
830,04013422633,64596.0,FRY'S 55,1915 S Power Rd,,Mesa,AZ,85206.0,4301.0,MARICOPA,-111.68758000000001,33.381165,64597.0,40100000000000.0,GroceryStore,,,
831,04013422633,89571.0,Target Store T-0639,1525 S Power Rd,,Mesa,AZ,85206.0,3707.0,MARICOPA,-111.68465,33.38884,89572.0,40100000000000.0,GroceryStore,,,
832,04013422633,52696.0,WinCo Foods 110,1235 S Power Rd,,Mesa,AZ,85206.0,3712.0,MARICOPA,-111.6846,33.393253,52697.0,40100000000000.0,GroceryStore,,,
833,04013422634,,,,,,,,,,,,,,,,,
834,04013422635,,,,,,,,,,,,,,,,,
835,04013422636,,,,,,,,,,,,,,,,,
836,04013422637,,,,,,,,,,,,,,,,,
837,04013422638,79340.0,Sprouts Farmers Market 10,5225 E Southern Ave,,Mesa,AZ,85206.0,2777.0,MARICOPA,-111.71825,33.393814,79341.0,40100000000000.0,GroceryStore,,,
838,04013422639,8667.0,Walmart Supercenter 1646,6131 E Southern Ave,,Mesa,AZ,85206.0,3734.0,MARICOPA,-111.69912,33.393826000000004,8668.0,40100000000000.0,GroceryStore,,,
839,04013422640,,,,,,,,,,,,,,,,,
840,04013422641,,,,,,,,,,,,,,,,,
841,04013422642,15385.0,ALBERTSONS  1002,9243 E Baseline Rd,,Mesa,AZ,85209.0,8308.0,MARICOPA,-111.63476999999999,33.379073999999996,15386.0,40100000000000.0,GroceryStore,,,
842,04013422642,80148.0,Bashas' 155,9925 E Baseline Rd,,Mesa,AZ,85209.0,8325.0,MARICOPA,-111.62163000000001,33.378986,80149.0,40100000000000.0,GroceryStore,,,
843,04013422643,,,,,,,,,,,,,,,,,
844,04013422644,13045.0,Fry's 686,2724 S Signal Butte Rd,,Mesa,AZ,85209.0,,MARICOPA,-111.60127,33.365807000000004,13046.0,40100000000000.0,GroceryStore,,,
