,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,ObjectId,FIPS,Census Tract
15385,ALBERTSONS  1002,9243 E Baseline Rd,,Mesa,AZ,85209,8308,MARICOPA,-111.63477,33.379074,15386,040134226421008,04013422642
15478,SAFEWAY  1521,12122 N Rancho Vistoso Blvd,,Oro Valley,AZ,85755,1749,PIMA,-110.96127,32.425705,15479,040190046421018,04019004642
15653,Speedy Food N Gas LLC,804 N Country Club Dr,,Mesa,AZ,85201,4106,MARICOPA,-111.83997,33.430019,15654,040134211024007,04013421102
15886,Westerners,MAIN ST,,TUBA CITY,AZ,86045,,COCONINO,-111.23508,36.124199,15887,040059452002026,04005945200
16223,"Tri-m Mini Mart Lhc, Llc",250 Swanson Ave,,Lake Havasu City,AZ,86403,0966,MOHAVE,-114.34064,34.467434,16224,040159532001044,04015953200
16479,Capri Market & Deli,5115 N 40 St,Ste 1,Phoenix,AZ,85018,,MARICOPA,-111.99525,33.511883,16480,040131079003003,04013107900
16920,Albertsons 3989,2727 N Power Rd,,Mesa,AZ,85215,1681,MARICOPA,-111.68387,33.46513,16921,040134201091022,04013420109
16953,SAFEWAY  1636,5860 W Thunderbird Rd,,Glendale,AZ,85306,4629,MARICOPA,-112.18465,33.610802,16954,040131042172027,04013104217
16954,Walgreens 03670,1159 E Southern Ave,,Mesa,AZ,85204,5011,MARICOPA,-111.80632,33.393322,16955,040134223011000,04013422301
16975,Walmart Supercenter 2554,13055 W Rancho Santa Fe Blvd,,Avondale,AZ,85392,1700,MARICOPA,-112.33854,33.460865,16976,040130612001002,04013061200
16978,Mexican Water Trading Post 509,HIGHWAY 160 & 191,,MEXICAN WATER,AZ,86514,,APACHE,-109.06536,36.897652,16979,040019427001115,04001942700
17029,Family Dollar Store 12015,16 CR 5064,,Concho Lake,AZ,85924,,APACHE,-109.63118,34.450508,17030,040019702001537,04001970200
17434,T & L Convenience,411 N Arizona Blvd,,Coolidge,AZ,85128,4109,PINAL,-111.52397,32.98111,17435,040210010001039,04021001000
17703,Speedway 2962,5620 S Hwy 92,,Hereford,AZ,85615,,COCHISE,-110.25749,31.467245,17704,040030019002027,04003001900
17798,Petro Stopping Centers 306,"I-10, Exit 200 At Sunland Gin Rd.",,Eloy,AZ,85131,,PINAL,-111.67108,32.807285,17799,040210019001370,04021001900
17800,Petro Stopping Centers 315,"I-40 At Blake Ranch Road, Exit 66",,Kingman,AZ,86401,,MOHAVE,-113.78734,35.17561,17801,040159548003549,04015954800
17803,Hopi Travel Plaza 1,I 40 Exit 292,,Holbrook,AZ,86025,,NAVAJO,-110.15833,34.902557,17804,040179602001189,04017960200
17948,Travelcenters Of America 007,I-8/i-10 & Toltec Road,,Eloy,AZ,85131,,PINAL,-111.61946,32.777489,17949,040210019001357,04021001900
17949,Travelcenters Of America 094,"I-40/us 93, Exit 48",,Kingman,AZ,86401,,MOHAVE,-114.06711,35.195648,17950,040159536023083,04015953602
17951,Travelcenters Of America 225,"I-10, Exit 103",,Tonopah,AZ,85354,,MARICOPA,-112.84787,33.435795,17952,040130506032303,04013050603
17953,Travelcenters Of America 226,"I-10, Exit 340",,Wilcox,AZ,85643,,COCHISE,-109.83451,32.249584,17954,040030002022028,04003000202
18186,New Island Liquor,814 N Pinal Ave,,Casa Grande,AZ,85122,3903,PINAL,-111.75723,32.88097,18187,040210014032070,04021001403
18379,Big Lots 4582,2020 N 75th Ave,,Phoenix,AZ,85034,,MARICOPA,-112.22083,33.470383,18380,040131125092011,04013112509
18395,Dees International Fashion Boutique,4625 E Broadway Blvd,Ste 100A Bld,Tucson,AZ,85711,3521,PIMA,-110.89375,32.221634,18396,040190034005000,04019003400
18460,Good 2 Go Store 503,1501 E Ash St,,Globe,AZ,85501,1427,GILA,-110.77213,33.396023,18461,040070012001025,04007001200
18506,Circle K 2703480,4810 E Warner Rd,,Phoenix,AZ,85044,3353,MARICOPA,-111.98016,33.331047,18507,040131167082012,04013116708
18627,Circle K 2723415,3215 N Swan Rd,,Tucson,AZ,85712,1228,PIMA,-110.89253,32.26577,18628,040190029031001,04019002903
18630,Circle K 2723419,5202 E Baseline Rd,,Gilbert,AZ,85234,2968,MARICOPA,-111.72216,33.379326,18631,040134226362010,04013422636
